wav_file,emotion
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03a02Wb.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03a02Fc.wav,Happiness
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03a02Nc.wav,Neutral
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03a01Nc.wav,Neutral
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03a01Fa.wav,Happiness
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03a01Wa.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03a02Ta.wav,Sadness
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08a07La.wav,Boredom
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/09b09Ea.wav,Disgust
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08a01Fd.wav,Happiness
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03b10Nc.wav,Neutral
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03b03Wc.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/09a02Eb.wav,Disgust
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/10a04Wa.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03a07La.wav,Boredom
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08a02Wc.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/11a02Tc.wav,Sadness
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08a05Wa.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03b09Tc.wav,Sadness
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/10b02Wb.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/10a05Tb.wav,Sadness
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08a05Lc.wav,Boredom
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08b10Aa.wav,Fear
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/10b02La.wav,Boredom
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08b02Wd.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/09a07Na.wav,Neutral
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/09b03Lb.wav,Boredom
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08b09Nb.wav,Neutral
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/11a01Nd.wav,Neutral
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/10b02Aa.wav,Fear
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08a05Nb.wav,Neutral
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08b09Wa.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/09a07Wd.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08a02Fe.wav,Happiness
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/09a04Wa.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08b03Nb.wav,Neutral
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/09a04La.wav,Boredom
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03a07Nc.wav,Neutral
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08a04La.wav,Boredom
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03b01Wc.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/10a07Ad.wav,Fear
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/10a02Fa.wav,Happiness
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/11a05Fb.wav,Happiness
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/09a07Ta.wav,Sadness
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/03b09Nc.wav,Neutral
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/11a02Wc.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08b10Wa.wav,Anger
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08a04Ff.wav,Happiness
/home/self/workspace/professional/Talks-classes/IIIDh/datasets/emodb/wav/08b02La.wav,Boredom
